LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Proba,Score
25100,41314.0,71357.0,DebtCon,Office,19.0,0.0,0.0,183.6314283,1.0,22.0,33.665534117,0.03157073127304868,582.38
19600,33284.0,61824.0,DebtCon,Other,14.0,0.0,0.0,119.47307291,1.0,17.0,37.784523666,0.051354979054144934,564.09
11000,54641.0,65705.0,DebtCon,Other,5.0,0.0,0.0,323.19292763,0.0,10.0,33.299628394,0.03872361787756101,574.75
9600,45240.0,60136.0,DebtCon,Other,2.0,0.0,1.0,83.066750905,0.0,19.0,38.454300022,0.11625314015445555,532.06
4000,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0,168.66666667,0.0,18.0,,0.5916790673025638,445.53
7900,,71519.0,HomeImp,Office,0.0,0.0,0.0,55.873860215,0.0,4.0,38.375091295,0.2448841372325519,499.52
36800,109378.0,163684.0,DebtCon,Other,,0.0,0.0,240.23287537,3.0,13.0,35.691542689,0.032849751200616076,580.9
12800,,,,,,,,,,,25.132448542,0.05178252602729414,563.77
16200,81933.0,131208.0,DebtCon,ProfExe,13.0,0.0,0.0,308.53202717,0.0,19.0,29.60368375,0.030230776832977365,583.99
28300,71973.0,119224.0,DebtCon,Other,4.0,0.0,0.0,89.379952321,2.0,32.0,39.98105906,0.051722566789409015,563.81
15000,86177.0,111500.0,DebtCon,Other,14.0,0.0,0.0,133.93333333,2.0,9.0,,0.049514388093290486,565.47
65500,205156.0,290239.0,DebtCon,ProfExe,2.0,0.0,0.0,98.808205619,1.0,21.0,144.18900129,0.6733534033222061,432.81
21800,32335.0,49621.0,HomeImp,Self,3.0,1.0,,115.13020763,,10.0,26.926021471,0.1267729448551163,528.51
27000,60631.0,86091.0,DebtCon,Other,24.0,0.0,2.0,200.14145359,1.0,20.0,26.248756632,0.25451422474162416,497.66
14800,46698.0,60679.0,DebtCon,,6.0,1.0,0.0,126.49380515,2.0,10.0,28.394817363,0.08186811211638308,546.09
6400,70035.0,78635.0,DebtCon,Sales,3.0,0.0,0.0,147.07716353,0.0,31.0,31.206129763,0.07372129003398657,550.19
23700,43712.0,75191.0,DebtCon,Office,6.0,0.0,0.0,50.717534833,2.0,18.0,37.10325125,0.13254913607155788,526.66
24400,93411.0,140031.0,HomeImp,ProfExe,6.0,0.0,0.0,177.51124938,0.0,32.0,31.027335916,0.030130667405834304,584.12
8700,76510.0,108130.0,DebtCon,Office,2.0,0.0,0.0,252.84392821,1.0,37.0,17.414859614,0.03543864863843242,578.07
35000,227000.0,316000.0,HomeImp,ProfExe,3.0,0.0,0.0,160.26666667,1.0,25.0,,0.685152535951659,430.86
15100,39679.0,62674.0,DebtCon,,5.0,1.0,0.0,95.599100855,1.0,9.0,28.505590561,0.09671324960212074,539.49
15000,42720.0,70000.0,DebtCon,Other,1.0,,2.0,289.0,1.0,10.0,,0.27537988256768214,493.8
22300,75600.0,102000.0,DebtCon,Mgr,5.0,0.0,1.0,64.933333333,2.0,28.0,,0.6745577256272532,432.62
26300,52296.0,91041.0,DebtCon,Other,24.0,1.0,2.0,193.85371322,0.0,19.0,24.893781127,0.23585244308671954,501.3
6500,,37448.0,HomeImp,Other,,,,333.23089989,,11.0,29.011980578,0.08899922662290376,542.79
8600,22960.0,80874.0,HomeImp,ProfExe,20.0,0.0,0.0,238.70268339,0.0,11.0,25.887319897,0.04323261305885485,570.6
15200,49428.0,62696.0,DebtCon,Mgr,27.0,0.0,0.0,265.39531284,1.0,16.0,38.500796453,0.03091094459237714,583.16
24400,119000.0,144400.0,DebtCon,Mgr,33.0,0.0,2.0,229.3,7.0,36.0,,0.643272186984328,437.64
13900,96326.0,144668.0,HomeImp,ProfExe,15.0,0.0,0.0,142.03790337,5.0,21.0,34.122753508,0.08921861417422931,542.7
